year	talalunga_n	talalunga_dens	id
2005	3	0.0178147268408551	498
2005	0	0	499
2005	1	0.00641025641025641	500
2005	0	0	501
2005	0	0	502
2005	0	0	503
2005	0	0	504
2005	0	0	505
2005	2	0.0133511348464619	506
2005	0	0	507
2005	1	0.00571102227298686	508
2005	3	0.0170745589072282	509
2005	7	0.0520446096654275	510
2005	11	0.0842911877394636	511
2005	0	0	512
2005	2	0.0116211504938989	513
2005	3	0.016260162601626	514
2005	5	0.0323624595469256	515
2005	4	0.026578073089701	516
2005	2	0.0121212121212121	517
2005	14	0.085995085995086	518
2005	20	0.124300807955252	519
2005	2	0.0119545726240287	520
2005	15	0.0785751702462022	521
2005	18	0.120080053368913	522
2005	0	0	523
2005	0	0	524
2005	0	0	525
2005	0	0	526
2005	1	0.00455996352029184	527
2005	0	0	528
2005	0	0	529
2005	0	0	530
2005	2	0.0128040973111396	531
2005	0	0	532
2005	0	0	533
2005	2	0.0102774922918808	534
2005	2	0.010498687664042	535
2005	0	0	536
2005	5	0.0270709258256632	537
2005	1	0.00523560209424084	538
2005	0	0	539
2005	6	0.0394996708360764	540
2005	1	0.00568828213879408	541
2005	0	0	542
2005	2	0.012187690432663	543
2005	2	0.0127145581691036	544
2005	1	0.00632111251580278	545
2005	58	0.33603707995365	546
2005	0	0	547
2005	0	0	548
2005	4	0.0228702115494568	549
2005	1	0.00657462195923734	550
2005	8	0.03613369467028	551
2005	1	0.00440917107583774	552
2005	2	0.0111731843575419	553
2005	4	0.0213106020245072	554
2005	0	0	555
2005	2	0.0113636363636364	556
2005	0	0	557
2005	8	0.0323755564548766	558
2005	0	0	559
2005	0	0	560
2005	1	0.00511247443762781	561
2005	2	0.0117233294255569	562
2005	10	0.03933910306845	563
2005	54	0.225563909774436	564
2005	2	0.0124378109452736	565
2005	6	0.0350877192982456	566
2005	2	0.0138504155124654	567
2005	7	0.0307963044434668	568
2005	3	0.0172910662824208	569
2005	1	0.00533333333333333	570
2005	0	0	571
2005	0	0	572
2005	0	0	573
2005	1	0.00874125874125874	574
2005	0	0	575
2005	4	0.0258899676375405	576
2005	0	0	577
2005	0	0	578
2005	15	0.0782881002087683	579
2005	0	0	580
2005	3	0.0181159420289855	581
2005	1	0.00654878847413229	582
2005	0	0	583
2005	0	0	584
2005	3	0.0147856086742238	585
2005	1	0.00717875089734386	586
2005	0	0	587
2005	0	0	588
2005	0	0	589
2005	2	0.0119760479041916	590
2005	0	0	591
2005	10	0.066006600660066	592
2005	0	0	593
2005	0	0	594
2005	11	0.0712435233160622	595
2005	5	0.0319488817891374	596
2005	0	0	597
2005	1	0.00404367165386171	598
2005	0	0	599
2005	0	0	600
2005	5	0.030902348578492	601
2005	6	0.042674253200569	602
2005	4	0.0192215281114849	603
2005	5	0.0313676286072773	604
2005	8	0.0385170919595571	605
2005	7	0.0427350427350427	606
2005	7	0.037940379403794	607
2005	0	0	608
2005	0	0	609
2005	4	0.023094688221709	610
2005	3	0.0162778079218665	611
2005	4	0.0259067357512953	612
2005	10	0.0603500301750151	613
2005	3	0.0227272727272727	614
2005	2	0.00986193293885602	615
2005	13	0.0803461063040791	616
2005	2	0.0128205128205128	617
2005	17	0.0982658959537572	618
2005	21	0.129071911493546	619
2005	0	0	620
2005	1	0.00708215297450425	621
2005	11	0.0760193503800968	622
2005	0	0	623
2004	0	0	624
2004	0	0	625
2004	0	0	626
2004	0	0	627
2004	0	0	628
2004	0	0	629
2004	1	0.00638162093171666	630
2004	0	0	631
2004	0	0	632
2004	1	0.00784313725490196	633
2004	0	0	634
2004	0	0	635
2004	0	0	636
2004	0	0	637
2004	0	0	638
2004	0	0	639
2004	0	0	640
2004	0	0	641
2004	0	0	642
2004	1	0.00649350649350649	643
2004	0	0	644
2004	0	0	645
2004	0	0	646
2004	0	0	647
2004	0	0	648
